d058.s043.t000	shelter.n.h.01
d030.s033.t006	ward.n.h.02
d157.s020.t000	concern.v.h.01
d157.s020.t001	sentence.n.h.02
d157.s020.t002	person.n.h.01.
d157.s020.t003	write.v.h.02: ['communicate or express by writing', 'write in a letter or document']
d157.s020.t004	be.v.h.01 : ['happen, occur, take place']
d157.s020.t005	possible.a.h.01
d157.s020.t006	mercy.n.h.01
d157.s020.t007	override.v.h.01
d157.s020.t008	vengeance.n.h.01
d157.s020.t009	person.n.h.01
d157.s020.t010	sentence.n.h.02
d157.s020.t011	commute.v.h.01
d157.s020.t012	imprisonment.n.h.01
d157.s020.t013	be.v.h.01 : ['happen, occur, take place']
d157.s020.t014	well.a.h.01
d157.s020.t015	well.a.h.01
d157.s020.t016	country.n.h.01
d157.s020.t017	virginia.n.h.01
d001.s012.t000	company.n.h.01
d001.s012.t001	rebuild.v.h.01
d001.s012.t002	keep.v.h.01
d001.s012.t003	use.v.h.01: ['seek or achieve an end by using to one's advantage', 'av
d001.s012.t004	angle.n.h.02
day.n.07_example.0	day.n.h.07
d134.s032.t000	march.v.h.01
d134.s032.t001	bayonet.n.h.01
d134.s032.t002	fixed.c.h.03: ['secured or set firmly in place', 'having or showing a determined
d134.s032.t003	fixed.c.h.03: ['secured or set firmly in place', 'having or showing a determined
d134.s032.t004	face.n.h.01: ['the feelings expressed on a person's face']
d134.s032.t005	be.v.h.01: ['happen, occur, take place']
d134.s032.t006	anger.n.h.01
d134.s032.t007	fear.n.h.01
d134.s032.t008	torment.n.h.01
d260.s070.t000	sound.v.h.01.
d260.s070.t001	make.v.h.01 : ['give rise to; cause to happen or occur', 'create or manufact
rack.v.07_example.0	There is no clear semantic match between the given sentence "Rack wine." and any of the provided homonym clusters.
slack.n.05_example.0	slack.n.h.01
d199.s093.t000	set.v.h.03:'make ready or suitable or equip in advance for a particular purpose or for some
d199.s093.t001	The correct answer is: bore.v.h.01.
d122.s078.t000	being.n.h.01
d122.s078.t001	will.n.h.01
d122.s078.t002	person.n.h.01
d122.s078.t003	non.r.h.01.
d122.s078.t004	divide.v.h.01
d122.s078.t005	god.n.h.01
d122.s078.t006	dad.n.h.01
d122.s078.t007	illume.v.h.01
d122.s078.t008	parish.n.h.01
d122.s078.t009	face.n.h.01
d122.s078.t010	turn.v.h.01
d122.s078.t011	choir.n.h.01
d122.s078.t012	band.n.h.02
d122.s078.t013	angel.n.h.01
d122.s078.t014	The corresponding homonym key for the semantics of the word "pulpit" in the given sentence is:amb
d122.s078.t015	tollbar.n.h.01
d243.s122.t000	be.v.h.01: ['have an existence, be extant', 'happen, occur, take
d243.s122.t001	rest.v.h.01.
senseval3.d001.s024.t000	freshman.n.h.01
senseval3.d001.s024.t001	place.v.h.01
senseval3.d001.s024.t002	emphasis.n.h.01
senseval3.d001.s024.t004	role.n.h.01
senseval3.d001.s024.t005	The corresponding homonym key for the target word "spreading" in the given sentence is: spread.v.h
senseval3.d001.s024.t006	revolution.n.h.01
senseval3.d001.s024.t007	national.a.h.01
senseval3.d001.s024.t008	policy.n.h.01
senseval3.d001.s024.t009	making.n.h.01
d224.s008.t000	cast.v.h.01.
semeval2015.d000.s008.t000	use.v.h.01
semeval2015.d000.s008.t001	treat.v.h.01
semeval2015.d000.s008.t002	type.n.h.01
semeval2015.d000.s008.t003	cancer.n.h.02
semeval2015.d000.s008.t006	cancer.n.h.02
semeval2015.d000.s008.t007	lining.n.h.01
semeval2015.d000.s008.t010	cause.v.h.01
d103.s034.t000	man.n.h.01
d103.s034.t001	boat.n.h.01
d103.s034.t002	set in motion, cause to start. (key: start.v.h.01)
d103.s034.t003	yell.v.h.01
d103.s034.t004	happily.r.h.01
d103.s034.t005	first.a.h.01
d103.s034.t006	sight.n.h.01
d103.s034.t007	officer.n.h.03
d103.s034.t008	2.a.h.01
d103.s034.t009	call.v.h.08 : 'utter a characteristic note or cry', 'order, request, or command to
d103.s034.t010	person.n.h.01
d149.s004.t000	location.n.h.01
d149.s004.t001	be.v.h.01
d149.s004.t002	about.r.h.03 : ['in or to a reversed position or direction', 'in the area or
d149.s004.t003	mile.n.h.01
d149.s004.t004	west.n.h.03
d149.s004.t005	location.n.h.01
d149.s004.t006	location.n.h.01
d149.s004.t007	border.n.h.02
d149.s004.t008	location.n.h.03 : ['a body of running water extending over a large area', 'a large and
d149.s004.t009	small.a.h.01
d149.s004.t010	dirty.a.h.01
d149.s004.t011	stream.n.h.01
d008.s181.t000	coroner.n.h.01
d008.s181.t001	say.v.h.01
d008.s181.t002	look.v.h.01: ["give a certain impression or have a certain outward aspect"]
d008.s181.t003	suck_in.v.h.01
d008.s181.t004	big.a.h.01
d008.s181.t005	pile.n.h.01.
d008.s181.t006	thick.a.h.01
d008.s181.t007	sudas.n.h.01 (the froth produced by soaps or detergents)
d008.s181.t008	strangle.v.h.01
paddle.v.01_example.0	paddle.v.h.01
ring.n.06_example.1	ring.n.h.02
d096.s114.t000	show.v.h.01
d096.s114.t001	be.v.h.01
d096.s114.t002	The semantics of the target word "boss" in the given sentence can be described by homonym cluster key:
pit.n.09_example.0	pit.n.h.01
d226.s110.t000	take.v.h.01: ['receive willingly something given or offered', 'take into one's
d226.s110.t001	rest.v.h.01.
d226.s110.t002	add.v.h.01 : ['make an addition (to); join or combine or unite with others;
d016.s018.t000	sep.n.h.01
d016.s018.t001	person.n.h.01
d016.s018.t002	charles\_darwin.n.h.01
d016.s018.t003	famed.a.h.01
d016.s018.t004	adherent.n.h.01
d016.s018.t005	come.v.h.01: ['reach a destination; arrive by movement or progress']
d016.s018.t006	england.n.h.01
d016.s018.t007	speak.v.h.01
d016.s018.t008	crowded.a.h.01
d016.s018.t009	auditorium.n.h.01
d016.s018.t010	formal.a.h.01
d016.s018.t011	opening.n.h.02
d016.s018.t012	university.n.h.01
d016.s018.t013	be.v.h.01: ['happen, occur, take place']
d016.s018.t014	school.n.h.01
d016.s018.t015	man.n.h.01
d016.s018.t016	only.r.h.01: ['without any others being included or involved']
d016.s018.t017	afford.v.h.01
d016.s018.t018	person.n.h.01
d016.s018.t019	opportunity.n.h.01
d016.s018.t020	attend.v.h.01
d016.s018.t021	public_lecture.n.h.01
blaze.n.05_example.0	blaze.n.h.02
d015.s051.t000	small.a.h.01
d015.s051.t001	pressure.n.h.01
d015.s051.t002	unbalance.n.h.01
d015.s051.t003	displace.v.h.01
d015.s051.t004	diaphragm.n.h.01.Explanation: The given sentence describes the "
d015.s051.t005	change.v.h.01
d015.s051.t006	capacitance.n.h.01
d015.s051.t007	diaphragm.n.h.01.Explanation: The given sentence describes the "
d015.s051.t008	electrically.r.h.01
d015.s051.t009	insulate.v.h.01
d015.s051.t010	plate.n.h.02
d015.s051.t011	space.v.h.01
d015.s051.t012	in.n.h.01
d015.s051.t013	apart.r.h.01
trump.n.02_example.0	trump.n.h.01
d053.s072.t000	information.n.h.04
d053.s072.t001	page.n.h.02.
d053.s072.t002	8.a.h.14 : [page number]
d053.s072.t003	14.a.h.01
d053.s072.t004	help.v.h.01
d053.s072.t005	decide.v.h.01
d053.s072.t006	kind.n.h.01
d053.s072.t007	scale.n.h.02
d053.s072.t008	farming.n.h.01
d053.s072.t009	venture.n.h.01
d052.s043.t000	be.v.h.01
d052.s043.t001	comment.n.h.02
d052.s043.t002	conventional.a.h.01
d052.s043.t003	pattern.n.h.01: ['a customary way of operation or behavior','something regarded as a norm
d052.s043.t004	more.r.h.01
d052.s043.t005	violently.r.h.01
d052.s043.t006	other.a.h.01
d052.s043.t007	regard.n.h.01
d052.s043.t008	treatment.n.h.01
d052.s043.t009	book.n.h.01
d052.s043.t010	be.v.h.01: ['happen, occur, take place']
d052.s043.t011	far.r.h.01: ['at or to a great distance in space']
d052.s043.t012	even.r.h.01
d052.s043.t013	genial.a.h.01
d052.s043.t014	irony.n.h.01
d052.s043.t015	person.n.h.01.
d052.s043.t016	be.v.h.01 : ['have an existence, be extant']
d052.s043.t017	important.a.h.01
d052.s043.t018	novelist.n.h.01
d052.s043.t019	challenge.v.h.01
d052.s043.t020	conventional.a.h.01
d052.s043.t021	picture.n.h.01
d052.s043.t022	planter.n.h.01
d052.s043.t023	society.n.h.01
d112.s068.t000	every.a.h.01
d112.s068.t001	writer.n.h.01
d112.s068.t002	deal.v.h.01
d112.s068.t003	special.a.h.01
d112.s068.t004	case.n.h.01
d112.s068.t005	interested.a.h.01
d112.s068.t006	student.n.h.01
d112.s068.t007	want.v.h.01
d112.s068.t008	ask.v.h.01
d112.s068.t009	number.n.h.01
d112.s068.t010	question.n.h.01
d078.s038.t000	year.n.h.01
d078.s038.t001	later.r.h.01
d078.s038.t002	bank.n.h.02
d078.s038.t003	handle.v.h.01
d078.s038.t004	person.n.h.01.Explanation:The word "Mercer" in the sentence
d078.s038.t005	liquidation.n.h.01
d078.s038.t006	receive.v.h.01
d078.s038.t007	check.n.h.01.
d078.s038.t008	enough.n.h.01
d078.s038.t009	clear_up.v.h.01Explanation: The word "clear up" in the context
d078.s038.t010	debt.n.h.01
d121.s159.t000	grass.n.h.02.
d121.s159.t001	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d121.s159.t002	there.r.h.01
d121.s159.t003	place.n.h.02: ['the particular portion of space occupied by something', 'a general vicinity']
d121.s159.t004	ground.n.h.03
d121.s159.t005	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d121.s159.t006	too.r.h.01
d121.s159.t007	steep.a.h.01
d121.s159.t008	cow.n.h.01
d121.s159.t009	get.v.h.01 : ['cause to move; cause to be in a certain position or condition',
d101.s030.t000	strike.v.h.02 : ['have an emotional or cognitive impact upon', 'affect or afflict suddenly
d101.s030.t001	spark.n.h.02
d101.s030.t002	at_times.r.h.01
d101.s030.t003	light.n.h.01
d101.s030.t004	cause.v.h.01
d101.s030.t005	all.a.h.01
d101.s030.t006	be.v.h.01
d101.s030.t007	forget.v.h.01
d034.s071.t000	go.v.h.01: ['change location; move, travel, or proceed, also metaphorically']
d034.s071.t001	down_the_stairs.r.h.01
d034.s071.t002	receive.v.h.01: ['get something; come into possession of']
d034.s071.t003	curious.a.h.01
d034.s071.t004	shock.n.h.05: ['an unpleasant or disappointing surprise']
d034.s071.t005	person.n.h.01
d034.s071.t006	flap.v.h.01
d034.s071.t007	dining-room.n.h.01
d034.s071.t008	homemade.a.h.01
d034.s071.t009	person.n.h.01
d034.s071.t010	ask.v.h.01
d034.s071.t011	bring.v.h.01.Explanation: In the context of the sentence, "brought
d034.s071.t012	coffee.n.h.01
d034.s071.t013	room.n.h.01
d034.s071.t014	person.n.h.01
d034.s071.t015	say.v.h.01
pick.n.07_example.0	pick.n.h.02
d154.s022.t000	moment.n.h.01.Explanation: In the context of the given sentence, the word
d154.s022.t001	person.n.h.01
d154.s022.t002	first.a.h.01
d154.s022.t003	walk.v.h.01
d154.s022.t004	mission.n.h.01
d154.s022.t005	ask.v.h.01
d154.s022.t006	job.n.h.02
d154.s022.t007	job.n.h.02
d154.s022.t008	qualification.n.h.01
d154.s022.t009	neatly.r.h.01
d154.s022.t010	write.v.h.01.Explanation: In the context of the sentence, "written"
d154.s022.t011	piece_of_paper.n.h.01
d154.s022.t012	precise.a.h.01
d154.s022.t013	hand.n.h.03: ['something written by hand']
d154.s022.t014	be.v.h.01 : ['happen, occur, take place']
d154.s022.t015	ready.a.h.01
d154.s022.t016	become.v.h.01
d154.s022.t017	christian.n.h.02
semeval2013.d009.s020.t000	regard.n.h.05: ["the condition of being honored (esteemed or respected or well regarded)
semeval2013.d009.s020.t002	business.n.h.01
semeval2013.d009.s020.t003	court.n.h.01
semeval2013.d009.s020.t004	group.n.h.01
d045.s051.t000	stay.v.h.01.
d045.s051.t001	quiet.a.h.01
d045.s051.t002	hang.v.h.01 : ['give heed (to)', 'hold on tightly or tenaciously
d045.s051.t003	non.r.h.01.
d045.s051.t004	say.v.h.01
d045.s051.t005	say.v.h.01
d045.s051.t006	non.r.h.01.
d045.s051.t007	listen.v.h.01
d045.s051.t008	exactly.r.h.01
d045.s051.t009	rather.r.h.01: ['to a degree (not used with a negative)']
d045.s051.t010	feel.v.h.01
d064.s020.t000	observe.v.h.01
d064.s020.t001	again_and_again.r.h.01
d064.s020.t002	be.v.h.01: ['happen, occur, take place', 'form or compose']
d064.s020.t003	integration.n.h.02
d064.s020.t004	integration.n.h.02
d064.s020.t005	begin.v.h.01.Explanation: The word "begins" in the given
d064.s020.t006	abstract.a.h.01
d064.s020.t007	design.n.h.01
d064.s020.t008	gradually.r.h.01
d064.s020.t009	take_on.v.h.01. ['take on a certain form, attribute, or aspect']
d064.s020.t010	recognizable.a.h.01
d064.s020.t011	form.n.h.03 : ['any spatial attributes (especially as defined by outline)', 'the visual appearance of
d064.s020.t012	color.n.h.01
d064.s020.t013	pattern.n.h.03
d064.s020.t014	make.v.h.01 : ['give certain properties to something', 'create or manufacture a man-
d064.s020.t015	weave.v.h.01.
d064.s020.t016	whole.a.h.01
d064.s020.t017	composition.n.h.01
d064.s020.t018	overall.a.h.01
d064.s020.t019	amazing.a.h.01
d064.s020.t020	control.n.h.05 : ['great skillfulness and knowledge of some subject or activity']
d064.s020.t021	large.a.h.01
d064.s020.t022	wash.n.h.06.Explanation: The context of the sentence suggests that "washes
d064.s020.t023	be.v.h.01: ['happen, occur, take place', 'form or compose']
d064.s020.t024	person.n.h.01.Explanation: The context of the sentence suggests that "Mason
d064.s020.t025	stylemark.n.h.01
d160.s065.t000	related_to.a.h.01
d160.s065.t001	micelle.n.h.02: ['a colloidal aggregate of amphipathic molecules in
d160.s065.t002	formation.n.h.06 : ['natural process that causes something to form']
d160.s065.t003	be.v.h.01
d160.s065.t004	technologically.r.h.01
d160.s065.t005	important.a.h.01
d160.s065.t006	ability.n.h.01
d160.s065.t007	detergent.n.h.01
d160.s065.t008	active.n.h.01
d160.s065.t009	congregate.v.h.01
d160.s065.t010	oil-water_interface.n.h.01
d160.s065.t011	manner.n.h.01
d160.s065.t012	polar.a.h.03 : ['having opposite ends or opposite charges', 'having or exhibiting opposite
d160.s065.t013	ionised.a.h.01
d160.s065.t014	end.n.h.01
d160.s065.t015	molecule.n.h.01
d160.s065.t016	direct.v.h.01
d160.s065.t017	aqueous.a.h.01
d160.s065.t018	phase.n.h.02
d160.s065.t019	hydrocarbon.n.h.01
d160.s065.t020	chain.n.h.02
d160.s065.t021	oily.a.h.01
d160.s065.t022	phase.n.h.02
d156.s039.t000	conversation.n.h.01
d156.s039.t001	man.n.h.01
d156.s039.t002	happen, occur, take place (be.v.h.01)
d156.s039.t003	able.a.h.01
d156.s039.t004	recount.v.h.01
d156.s039.t005	practically.r.h.01
d156.s039.t006	say.v.h.01
d156.s039.t007	non.r.h.01
d156.s039.t008	describe.v.h.01
d156.s039.t009	at_all.r.h.01
d156.s039.t010	other.a.h.01
d156.s039.t011	man.n.h.01
d156.s039.t012	look_like.v.h.01
d250.s005.t000	descend.v.h.01: ['move downward and lower']
d250.s005.t001	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d250.s005.t002	sack.v.h.01 : ['terminate the employment of; discharge from an office or position',
d250.s005.t003	despoil.v.h.01
d250.s005.t004	The corresponding homonym key for the target word "Soak" in the given context is soak.v.h.
d176.s028.t000	group.n.h.01
d176.s028.t001	corporation.n.h.01
d176.s028.t002	first.r.h.01
d176.s028.t003	list.v.h.01.
d176.s028.t004	chicago.n.h.01
d176.s028.t005	date.n.h.03: ['a meeting arranged in advance', 'a particular but unspecified point in
d176.s028.t006	dec.n.h.01
conk.v.02_example.0	conk.v.h.02.
d068.s056.t000	way.n.h.01
d068.s056.t001	crimson.a.h.01
d068.s056.t002	rubbery.a.h.01
d068.s056.t003	lip.n.h.01
d068.s056.t004	stretch.v.h.01
d068.s056.t005	pearly-white.a.h.01
d068.s056.t006	little.a.h.01
d068.s056.t007	tooth.n.h.01
d068.s056.t008	only.r.h.01
d068.s056.t009	have.v.h.01: ['have or possess', 'go through (mental or physical states or experiences
d068.s056.t010	joke.n.h.01
d068.s056.t011	no.n.h.02
d068.s056.t012	want.v.h.01
d068.s056.t013	bend.v.h.01: ['turn from a straight course, fixed direction, or line of interest', '
d068.s056.t014	down.r.h.01 : ['spatially or metaphorically from a higher to a lower level or
d068.s056.t015	roar.n.h.02
d068.s056.t016	wind.n.h.01
d068.s056.t017	so.r.h.01: ['subsequently or soon afterward (often used as sentence connectors)', '
d068.s056.t018	roar.v.h.01
d068.s056.t019	ear.n.h.01
d090.s070.t000	be.v.h.01
d090.s070.t001	case.n.h.01
d090.s070.t002	modern.a.h.01
d090.s070.t003	history.n.h.01
d090.s070.t004	britannic.a.h.01
d090.s070.t005	origin.n.h.03
d090.s070.t006	submit.v.h.01
d090.s070.t007	continued.a.h.01
d090.s070.t008	struggle.n.h.01
d090.s070.t009	deem.v.h.01
d090.s070.t010	foreign.a.h.01
d090.s070.t011	domination.n.h.01
d078.s058.t000	person.n.h.01.
d078.s058.t001	take_up.v.h.01: ['begin work or acting in a certain capacity, office or job',
d078.s058.t002	residence.n.h.01
d078.s058.t003	brooklyn.n.h.01
d078.s058.t004	person.n.h.01.
d078.s058.t005	find.v.h.01 : ['discover or determine the existence, presence, or fact of', 'ob
d078.s058.t006	regular.a.h.01
d078.s058.t007	job.n.h.02
d078.s058.t008	wall_street.n.h.01
d078.s058.t009	misplace.v.h.01
d078.s058.t010	stock.n.h.01: ['the merchandise that a shop has on hand', 'a supply of
d078.s058.t011	bond.n.h.02: ['a certificate of debt (usually interest-bearing or discounted)
d169.s081.t000	be.v.h.01
d169.s081.t001	case.n.h.01
d169.s081.t002	equal.a.h.01
d169.s081.t003	usual.a.h.01
d169.s081.t004	be.v.h.01
d169.s081.t005	other.a.h.01
d169.s081.t006	change.n.h.01
d169.s081.t007	other.a.h.01
d169.s081.t008	energy.n.h.01
d169.s081.t009	involve.v.h.01
d075.s004.t000	incident.n.h.01
d075.s004.t001	become.v.h.01
d075.s004.t002	more.r.h.01
d075.s004.t003	sporadic.a.h.01
d075.s004.t004	more.r.h.01
d075.s004.t005	sharply.r.h.01
d075.s004.t006	demarcate.v.h.01
d075.s004.t007	behavior.n.h.01
d075.s004.t008	particular.a.h.01
d075.s004.t009	session.n.h.01
d075.s004.t010	several.a.h.01
d075.s004.t011	minute.n.h.01
d075.s004.t012	behavior.n.h.01
d075.s004.t013	as\_usual.r.h.01
d075.s004.t014	go_on.v.h.01
d075.s004.t015	words.n.h.01
d075.s004.t016	ask.v.h.01
d075.s004.t017	eagerly.r.h.01
d075.s004.t018	see.v.h.01: ['see or watch']
d075.s004.t019	person.n.h.01. [Explanation:The word "Granny" is a
d059.s033.t000	conclusion.n.h.01
d059.s033.t001	base.v.h.01 : ['use as a basis for; found on']
d059.s033.t002	2.a.h.01
d059.s033.t003	proposition.n.h.01
d059.s033.t004	man.n.h.01
d059.s033.t005	use.n.h.01 : ['the act of using', 'what something is used for']
d059.s033.t006	reason.n.h.03: ['the capacity for rational thought or inference or discrimination']
d059.s033.t007	ascertain.v.h.01
d059.s033.t008	god.n.h.01
d059.s033.t009	purpose.n.h.01
d059.s033.t010	universe.n.h.01
d059.s033.t011	god.n.h.01
d059.s033.t012	make.v.h.01 : ['cause to happen or occur', 'create or manufacture a man-
d059.s033.t013	known.a.h.01
d059.s033.t014	purpose.n.h.01
d059.s033.t015	certain.a.h.01
d059.s033.t016	physical.a.h.01
d059.s033.t017	arrangement.n.h.01
d010.s041.t000	expense.n.h.01
d010.s041.t001	type.n.h.01
d010.s041.t002	organization.n.h.01
d010.s041.t003	life.n.h.01
d010.s041.t004	recall.v.h.01
d010.s041.t005	number.n.h.01
d010.s041.t006	city.n.h.01
d010.s041.t007	church.n.h.02
d010.s041.t008	deteriorate.v.h.01
d010.s041.t009	repair.n.h.01
d010.s041.t010	abandon.v.h.01
d010.s041.t011	raise.v.h.01 : ['raise questions', 'cause to be heard or known', 'put forward
d010.s041.t012	fundamental.a.h.01
d010.s041.t013	question.n.h.01
d010.s041.t014	principle.n.h.01
d010.s041.t015	protestant.a.h.01
d010.s041.t016	survival.n.h.01
d010.s041.t017	mobile.a.h.01
d010.s041.t018	society.n.h.01
d010.s041.t019	all_the_same.r.h.01
d010.s041.t020	prevalence.n.h.01
d010.s041.t021	economic.a.h.01
d010.s041.t022	integration.n.h.02
d010.s041.t023	congregation.n.h.01
d010.s041.t024	illume.v.h.02 : ['make clear or understand, enlighten']
d010.s041.t025	The semantics of the target word "nature" in the given sentence can be described by the homonym key:
d010.s041.t026	protestant.a.h.01
d010.s041.t027	development.n.h.01
d107.s073.t000	old.a.h.01
d107.s073.t001	scale.n.h.02
d107.s073.t002	be.v.h.01 : ['happen, occur, take place']
d107.s073.t003	theoretical.a.h.01
d107.s073.t004	estimate.n.h.01
d107.s073.t005	conversion.n.h.01
d107.s073.t006	efficiency.n.h.01
d107.s073.t007	k.e..n.h.01
d107.s073.t008	light.n.h.01
d108.s034.t000	dad.n.h.01
d108.s034.t001	pull.v.h.03
d108.s034.t002	cover.n.h.01
d182.s027.t000	brush.n.h.01.Explanation: The sentence describes an "electric toothbrush
d182.s027.t001	move.v.h.01
d182.s027.t002	up_and_down.r.h.01
d182.s027.t003	be.v.h.01
d182.s027.t004	small.a.h.01
d182.s027.t005	enough.r.h.01
d182.s027.t006	clean.v.h.01
d182.s027.t007	every.a.h.01
d182.s027.t008	dental.a.h.01
d182.s027.t009	surface.n.h.01
d182.s027.t010	include.v.h.01
d182.s027.t011	back.n.h.01
d182.s027.t012	tooth.n.h.01
d114.s040.t000	number.v.h.01
d114.s040.t001	here.r.h.01
d114.s040.t002	name.n.h.01
d114.s040.t003	person.n.h.01
d114.s040.t004	person.n.h.01
d114.s040.t005	person.n.h.01
d114.s040.t006	let_alone.r.h.01
d114.s040.t007	group.n.h.01
d114.s040.t008	person.n.h.01
d114.s040.t009	brother.n.h.01
d114.s040.t010	person.n.h.01
d114.s040.t011	america.n.h.01
d114.s040.t012	claim.v.h.02: ['ask for legally or make a legal claim to, as of debts,
d038.s110.t000	person.n.h.01
d038.s110.t001	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d038.s110.t002	car.n.h.01
d038.s110.t003	curb.n.h.01.
d038.s110.t004	right.n.h.01 : [location near or direction toward the right side]
d038.s110.t005	just.r.h.01
d038.s110.t006	stand.v.h.01: ['occupy a place or location','remain inactive or immobile
d038.s110.t007	morosely.r.h.01
d038.s110.t008	even.r.h.01
d038.s110.t009	look.v.h.01: ["perceive with attention; direct one's gaze towards"]
d038.s110.t010	up.r.h.01 : ['nearer to the speaker']
child.n.02_example.1	key: kid.n.h.01.
d087.s021.t000	be.v.h.01: ['happen, occur, take place']
d087.s021.t001	person.n.h.01.
d087.s021.t002	express.v.h.01.
d087.s021.t003	pure.a.h.01
d087.s021.t004	zionism.n.h.01
d223.s067.t000	wish.v.h.01
d223.s067.t001	show.v.h.01
d223.s067.t002	be.v.h.01: ['have an existence, be extant', 'happen, occur, take
d223.s067.t003	stay.v.h.01
d223.s067.t004	make.v.h.01
d223.s067.t005	take_off.v.h.01Explanation: The sentence describes Bob Fogg taking off in
d223.s067.t006	disregard.v.h.01
d324.s010.t000	permit.v.h.01
d324.s010.t001	repair.v.h.01
d140.s058.t000	tend.v.h.01
d140.s058.t001	new.a.h.01
d140.s058.t002	colt.n.h.03
d140.s058.t003	person.n.h.01.
d140.s058.t004	beget.v.h.01
d008.s096.t000	man.n.h.01
d008.s096.t001	shove.v.h.01
d008.s096.t002	water.n.h.01
d008.s096.t003	then.r.h.01
d008.s096.t004	run.v.h.03 : ["cause something to pass or lead somewhere", "run, stand, or
d008.s096.t005	past.r.h.02 : ['beyond in time or order']..Explanation: In
d008.s096.t006	cabana.n.h.01
d122.s058.t000	kitchen.n.h.01
d122.s058.t001	ma.n.h.04.
d122.s058.t002	wipe.v.h.01
d122.s058.t003	cupboard.n.h.01
d048.s016.t000	purpose.n.h.01
d048.s016.t001	provision.n.h.01
d048.s016.t002	thus.r.h.01
d048.s016.t003	explain.v.h.01
d048.s016.t004	court.n.h.01.
d048.s016.t005	opinion.n.h.05
d048.s016.t006	section.n.h.01
d048.s016.t007	7.a.h.01 is not the correct answer. The target word "7" in the sentence is
d048.s016.t008	design.v.h.01
d048.s016.t009	arrest.v.h.01
d048.s016.t010	incipience.n.h.01
d048.s016.t011	substantial.a.h.01
d048.s016.t012	lessening.n.h.01
d048.s016.t013	competition.n.h.01
d048.s016.t014	acquisition.n.h.01
d048.s016.t015	one.a.h.01
d048.s016.t016	corporation.n.h.01
d048.s016.t017	whole.n.h.01
d048.s016.t018	part.n.h.01Explanation: The homonym cluster "part.n.h.
d048.s016.t019	stock.n.h.01 (equity, certificate documenting ownership)
d048.s016.t020	corporation.n.h.01
d048.s016.t021	also.r.h.01
d048.s016.t022	arrest.v.h.01
d048.s016.t023	incipience.n.h.01
d048.s016.t024	restraint.n.h.04
d048.s016.t025	monopoly.n.h.02
d048.s016.t026	relevant.a.h.01
d048.s016.t027	market.n.h.04 : ['the securities markets in the aggregate']
d048.s016.t028	reasonable.a.h.01
d048.s016.t029	probability.n.h.01
d048.s016.t030	appear.v.h.01 : ['seem to be true, probable, or apparent']
d048.s016.t031	time.n.h.01
d048.s016.t032	suit.n.h.02
d048.s016.t033	likely.a.h.01
d048.s016.t034	result.v.h.01
d048.s016.t035	acquisition.n.h.01
d048.s016.t036	one.a.h.01
d048.s016.t037	corporation.n.h.01
d048.s016.t038	part.n.h.01Explanation: The homonym cluster "part.n.h.
d048.s016.t039	stock.n.h.01 (equity, certificate documenting ownership)
d048.s016.t040	other.a.h.01
d048.s016.t041	corporation.n.h.01
d055.s033.t000	case.n.h.01
d055.s033.t001	2.a.h.01
d055.s033.t002	form.n.h.02 : ['a category of things distinguished by some common characteristic or quality', 'an arrangement
d055.s033.t003	match.v.h.01
d055.s033.t004	address.n.h.02
d055.s033.t005	save.v.h.01
d055.s033.t006	represent.v.h.01
d055.s033.t007	occurrence.n.h.01
d163.s031.t000	feel.v.h.01
d163.s031.t001	amply.r.h.01
d163.s031.t002	reward.v.h.01
d163.s031.t003	suffering.n.h.01
d163.s031.t004	evidence.n.h.01
d163.s031.t005	person.n.h.01.
d163.s031.t006	quack.a.h.01
d163.s031.t007	shenanigan.n.h.01
d163.s031.t008	gather.v.h.01: ['collect or gather', 'conclude from evidence']
d163.s031.t009	tape_machine.n.h.01
d163.s031.t010	friend.n.h.01.Explanation: In the context of the sentence, "friend"
d163.s031.t011	article_of_clothing.n.h.01
d163.s031.t012	The corresponding homonym key for the word "proved" in the given sentence is: prove.v.h.0
d163.s031.t013	adequate.a.h.01
d163.s031.t014	court.n.h.02 is not the correct answer as it refers to a tennis player. The correct answer is
d163.s031.t015	convict.v.h.01
d163.s031.t016	person.n.h.01.
rock.n.01_example.0	rock.n.h.01
d056.s049.t000	incorporate.v.h.01
d056.s049.t001	bos_taurus.n.h.01
d056.s049.t002	creep_feed.n.h.01
d056.s049.t003	level.n.h.01
d056.s049.t004	10.a.g.01 : ['one'] (The given context refers to a quantity or level,
d056.s049.t005	mg.n.h.03
d056.s049.t006	diethylstilbestrol.n.h.01
d056.s049.t007	lbf.n.h.01
d056.s049.t008	feed.n.h.01
d048.s048.t000	may.n.h.01
d048.s048.t001	9.a.h.01
d048.s048.t002	commissioner.n.h.01
d048.s048.t003	announce.v.h.01
d048.s048.t004	ruling.n.h.01
d051.s039.t000	morning.n.h.01
d051.s039.t001	early.r.h.01
d051.s039.t002	summer.n.h.01
d051.s039.t003	search.v.h.01
d051.s039.t004	trunk.n.h.01
d051.s039.t005	tree.n.h.01
d051.s039.t006	high.r.h.01
d051.s039.t007	reach.v.h.01: ['move forward or upward in order to touch', 'be in or establish communication
d051.s039.t008	locust.n.h.01
